0.0,0.0,-4.0,0.0
1.0,0.0,-4.0,0.0
2.0,0.0,-4.0,0.0
3.0,0.0,-4.0,0.0
4.0,0.0,-4.0,0.0
5.0,0.0,-4.0,0.0
6.0,0.0,-4.0,0.0
7.0,0.0,-4.0,0.0
8.0,0.0,-4.0,0.0
9.0,0.0,-4.0,0.0
10.0,0.0,-4.0,0.0
10.0,1.0,-4.0,1.57
10.0,2.0,-4.0,1.57
10.0,3.0,-4.0,1.57
10.0,4.0,-4.0,1.57
10.0,5.0,-4.0,1.57
10.0,6.0,-4.0,1.57
10.0,7.0,-4.0,1.57
10.0,8.0,-4.0,1.57
10.0,9.0,-4.0,1.57
10.0,10.0,-4.0,1.57
9.0,10.0,-4.0,3.14
8.0,10.0,-4.0,3.14
7.0,10.0,-4.0,3.14
6.0,10.0,-4.0,3.14
5.0,10.0,-4.0,3.14
4.0,10.0,-4.0,3.14
3.0,10.0,-4.0,3.14
2.0,10.0,-4.0,3.14
1.0,10.0,-4.0,3.14
0.0,10.0,-4.0,3.14
0.0,9.0,-4.0,-1.57
0.0,8.0,-4.0,-1.57
0.0,7.0,-4.0,-1.57
0.0,6.0,-4.0,-1.57
0.0,5.0,-4.0,-1.57
0.0,4.0,-4.0,-1.57
0.0,3.0,-4.0,-1.57
0.0,2.0,-4.0,-1.57
0.0,1.0,-4.0,-1.57
0.0,0.0,-4.0,-1.57
